Date,Open,High,Low,Close,Volume
2026-04-27 00:00:00+05:30,1327.9000244140625,1335.9000244140625,1310.9000244140625,1314.0999755859375,15385625
2026-04-28 00:00:00+05:30,1314.300048828125,1317.699951171875,1286.699951171875,1292.0,16774778
2026-04-29 00:00:00+05:30,1294.699951171875,1296.800048828125,1276.199951171875,1281.0,11716030
2026-04-30 00:00:00+05:30,1261.0,1272.199951171875,1259.0,1263.4000244140625,17740110
2026-05-01 00:00:00+05:30,1263.4000244140625,1263.4000244140625,1263.4000244140625,1263.4000244140625,0
2026-05-04 00:00:00+05:30,1264.300048828125,1282.199951171875,1264.300048828125,1270.800048828125,14597051
2026-05-05 00:00:00+05:30,1264.0,1266.699951171875,1245.5,1251.300048828125,24447935
2026-05-06 00:00:00+05:30,1262.0,1282.800048828125,1252.0999755859375,1279.5,22909586
2026-05-07 00:00:00+05:30,1284.699951171875,1294.0,1273.199951171875,1279.0,25028552
2026-05-08 00:00:00+05:30,1279.5999755859375,1279.5999755859375,1261.199951171875,1264.800048828125,11137424
2026-05-11 00:00:00+05:30,1259.4000244140625,1275.699951171875,1252.0,1266.4000244140625,18980488
2026-05-12 00:00:00+05:30,1256.0,1259.9000244140625,1236.300048828125,1240.300048828125,21110708
2026-05-13 00:00:00+05:30,1238.300048828125,1249.199951171875,1227.199951171875,1235.5999755859375,19490295
2026-05-14 00:00:00+05:30,1239.0999755859375,1256.699951171875,1236.0,1246.0,16535600
2026-05-15 00:00:00+05:30,1246.5999755859375,1258.0,1242.0,1244.5,11745614
2026-05-18 00:00:00+05:30,1235.5,1253.699951171875,1232.0,1251.0999755859375,13918850
2026-05-19 00:00:00+05:30,1251.0999755859375,1256.300048828125,1229.800048828125,1240.800048828125,38929053
2026-05-20 00:00:00+05:30,1230.0,1239.699951171875,1223.300048828125,1237.300048828125,14953103
2026-05-21 00:00:00+05:30,1245.300048828125,1248.300048828125,1234.4000244140625,1242.800048828125,14394386
2026-05-22 00:00:00+05:30,1242.0,1270.800048828125,1242.0,1264.300048828125,11601085
2026-05-25 00:00:00+05:30,1271.0,1293.5,1270.9000244140625,1291.800048828125,13853923
2026-05-26 00:00:00+05:30,1290.0,1301.800048828125,1276.199951171875,1279.0999755859375,18400405
2026-05-27 00:00:00+05:30,1286.0,1293.4000244140625,1274.300048828125,1282.300048828125,6140635
