Date,Open,High,Low,Close,Volume
2026-04-27 00:00:00+05:30,1154.5999755859375,1179.9000244140625,1154.5,1170.300048828125,19579883
2026-04-28 00:00:00+05:30,1162.699951171875,1169.4000244140625,1149.800048828125,1152.0999755859375,12720276
2026-04-29 00:00:00+05:30,1158.5,1178.199951171875,1156.800048828125,1167.5,8303109
2026-04-30 00:00:00+05:30,1167.5,1189.800048828125,1159.5999755859375,1181.800048828125,12205669
2026-05-01 00:00:00+05:30,1181.800048828125,1181.800048828125,1181.800048828125,1181.800048828125,0
2026-05-04 00:00:00+05:30,1195.0,1195.0,1165.199951171875,1168.4000244140625,7735811
2026-05-05 00:00:00+05:30,1169.5,1185.199951171875,1160.0999755859375,1178.0999755859375,8164108
2026-05-06 00:00:00+05:30,1187.0,1191.5,1164.0999755859375,1167.199951171875,9856963
2026-05-07 00:00:00+05:30,1173.0,1175.4000244140625,1159.199951171875,1162.699951171875,12013987
2026-05-08 00:00:00+05:30,1161.0,1183.5,1158.800048828125,1179.199951171875,7582770
2026-05-11 00:00:00+05:30,1176.0,1187.0,1172.0999755859375,1177.0,7336288
2026-05-12 00:00:00+05:30,1162.0,1162.0,1123.0,1140.300048828125,16891948
2026-05-13 00:00:00+05:30,1136.5999755859375,1142.5999755859375,1121.0,1123.0999755859375,6664111
2026-05-14 00:00:00+05:30,1119.800048828125,1121.9000244140625,1089.0,1095.0,16914842
2026-05-15 00:00:00+05:30,1102.0,1133.199951171875,1101.5999755859375,1119.0,17482450
2026-05-18 00:00:00+05:30,1119.0,1146.0999755859375,1118.0,1142.5,12096377
2026-05-19 00:00:00+05:30,1162.0,1198.4000244140625,1162.0,1196.9000244140625,32175705
2026-05-20 00:00:00+05:30,1187.0,1206.9000244140625,1184.9000244140625,1193.699951171875,15121010
2026-05-21 00:00:00+05:30,1196.0999755859375,1201.800048828125,1177.0,1181.199951171875,10021033
2026-05-22 00:00:00+05:30,1182.5,1191.800048828125,1172.5,1174.5,8803066
2026-05-25 00:00:00+05:30,1183.0,1185.0,1166.0999755859375,1168.5,5856136
2026-05-26 00:00:00+05:30,1166.300048828125,1180.699951171875,1162.9000244140625,1167.699951171875,8005767
2026-05-27 00:00:00+05:30,1161.0,1167.300048828125,1155.0,1161.699951171875,4593497
