Date,Open,High,Low,Close,Volume
2026-04-27 00:00:00+05:30,23945.44921875,24130.69921875,23936.19921875,24092.69921875,430300
2026-04-28 00:00:00+05:30,24049.900390625,24181.80078125,23957.05078125,23995.69921875,554100
2026-04-29 00:00:00+05:30,24096.900390625,24334.69921875,24059.94921875,24177.650390625,531100
2026-04-30 00:00:00+05:30,23996.94921875,24087.44921875,23796.849609375,23997.55078125,505500
2026-05-04 00:00:00+05:30,24063.55078125,24290.19921875,24004.75,24119.30078125,419100
2026-05-05 00:00:00+05:30,24052.599609375,24081.69921875,23882.05078125,24032.80078125,363300
2026-05-06 00:00:00+05:30,24171.0,24356.5,23997.900390625,24330.94921875,429200
2026-05-07 00:00:00+05:30,24398.5,24482.099609375,24284.0,24326.650390625,440600
2026-05-08 00:00:00+05:30,24233.650390625,24253.80078125,24126.650390625,24176.150390625,335900
2026-05-11 00:00:00+05:30,23970.099609375,23997.44921875,23799.099609375,23815.849609375,390100
2026-05-12 00:00:00+05:30,23722.599609375,23757.55078125,23348.400390625,23379.55078125,447500
2026-05-13 00:00:00+05:30,23362.44921875,23582.94921875,23262.55078125,23412.599609375,415400
2026-05-14 00:00:00+05:30,23530.25,23777.19921875,23426.55078125,23689.599609375,428700
2026-05-15 00:00:00+05:30,23731.400390625,23839.30078125,23610.30078125,23643.5,408900
2026-05-18 00:00:00+05:30,23482.19921875,23695.650390625,23317.099609375,23649.94921875,392000
2026-05-19 00:00:00+05:30,23675.30078125,23782.30078125,23587.19921875,23618.0,442000
2026-05-20 00:00:00+05:30,23457.25,23690.900390625,23397.30078125,23659.0,344100
2026-05-21 00:00:00+05:30,23830.05078125,23859.900390625,23596.599609375,23654.69921875,348200
2026-05-22 00:00:00+05:30,23671.19921875,23835.650390625,23671.0,23719.30078125,336100
2026-05-25 00:00:00+05:30,23940.25,24054.44921875,23922.849609375,24031.69921875,351200
2026-05-26 00:00:00+05:30,24004.099609375,24089.80078125,23885.44921875,23913.69921875,387900
2026-05-27 00:00:00+05:30,23880.349609375,23983.19921875,23868.5,23902.650390625,0
