Date,Open,High,Low,Close,Volume
2026-04-27 00:00:00+05:30,76856.046875,77420.0390625,76754.203125,77303.6328125,21200
2026-04-28 00:00:00+05:30,77094.7890625,77493.53125,76741.0625,76886.90625,16800
2026-04-29 00:00:00+05:30,77245.828125,77982.5078125,77136.203125,77496.359375,17900
2026-04-30 00:00:00+05:30,77014.2109375,77254.328125,76258.859375,76913.5,27900
2026-05-04 00:00:00+05:30,77257.2734375,77910.75,76939.5390625,77269.3984375,69200
2026-05-05 00:00:00+05:30,77103.71875,77151.328125,76515.03125,77017.7890625,14500
2026-05-06 00:00:00+05:30,77424.359375,78022.78125,76773.25,77958.5234375,15000
2026-05-07 00:00:00+05:30,78339.2421875,78384.703125,77713.2109375,77844.5234375,21500
2026-05-08 00:00:00+05:30,77631.9375,77647.4375,77146.4296875,77328.1875,13200
2026-05-11 00:00:00+05:30,76638.09375,76678.5234375,75957.3984375,76015.28125,23900
2026-05-12 00:00:00+05:30,75688.390625,75741.9609375,74449.5,74559.2421875,15200
2026-05-13 00:00:00+05:30,74439.34375,75191.5703125,74134.4765625,74608.9765625,18200
2026-05-14 00:00:00+05:30,74947.1171875,75681.8828125,74526.7734375,75398.71875,35800
2026-05-15 00:00:00+05:30,75497.1015625,75870.359375,75139.40625,75237.9921875,15200
2026-05-18 00:00:00+05:30,74807.96875,75466.6015625,74180.2578125,75315.0390625,16100
2026-05-19 00:00:00+05:30,75441.2734375,75746.2734375,75115.9921875,75200.8515625,13100
2026-05-20 00:00:00+05:30,74806.4921875,75406.1796875,74529.40625,75318.390625,11500
2026-05-21 00:00:00+05:30,75732.421875,75945.7890625,74996.78125,75183.359375,20600
2026-05-22 00:00:00+05:30,75260.390625,75810.96875,75230.75,75415.3515625,9400
2026-05-25 00:00:00+05:30,76135.8203125,76559.0703125,76097.0234375,76488.9609375,11600
2026-05-26 00:00:00+05:30,76224.140625,76627.0390625,75909.6796875,76009.703125,11500
2026-05-27 00:00:00+05:30,75939.859375,76224.6796875,75797.0078125,75971.078125,0
